app_id,name,manager,workload,size,start,end,runtime_sec
app-20251207173427-0035,ShuffleTest-sort-sort-skew-64m,sort,sort,skew,2025-12-07T09:34:25.621GMT,2025-12-07T09:36:54.457GMT,148.836
app-20251207173255-0034,ShuffleTest-sort-sort-64m,sort,sort,64m,2025-12-07T09:32:53.795GMT,2025-12-07T09:34:24.766GMT,90.971
app-20251207173210-0033,ShuffleTest-sort-reduce-64m,sort,reduce,64m,2025-12-07T09:32:09.250GMT,2025-12-07T09:32:52.867GMT,43.617
app-20251207172946-0032,ShuffleTest-hash-sort-skew-64m,hash,sort,skew,2025-12-07T09:29:45.161GMT,2025-12-07T09:32:08.383GMT,143.222
app-20251207172815-0031,ShuffleTest-hash-sort-64m,hash,sort,64m,2025-12-07T09:28:14.532GMT,2025-12-07T09:29:44.292GMT,89.76
app-20251207172740-0030,ShuffleTest-hash-reduce-64m,hash,reduce,64m,2025-12-07T09:27:38.674GMT,2025-12-07T09:28:13.670GMT,34.996
app-20251207172623-0029,ShuffleTest-sort-sort-skew-32m,sort,sort,skew,2025-12-07T09:26:22.080GMT,2025-12-07T09:27:37.828GMT,75.748
app-20251207172532-0028,ShuffleTest-sort-sort-32m,sort,sort,32m,2025-12-07T09:25:31.472GMT,2025-12-07T09:26:21.235GMT,49.763
app-20251207172503-0027,ShuffleTest-sort-reduce-32m,sort,reduce,32m,2025-12-07T09:25:02.164GMT,2025-12-07T09:25:30.618GMT,28.454
app-20251207172345-0026,ShuffleTest-hash-sort-skew-32m,hash,sort,skew,2025-12-07T09:23:43.889GMT,2025-12-07T09:25:01.302GMT,77.413
app-20251207172252-0025,ShuffleTest-hash-sort-32m,hash,sort,32m,2025-12-07T09:22:51.408GMT,2025-12-07T09:23:43.016GMT,51.608
app-20251207172228-0024,ShuffleTest-hash-reduce-32m,hash,reduce,32m,2025-12-07T09:22:27.371GMT,2025-12-07T09:22:50.564GMT,23.193
app-20251207172146-0023,ShuffleTest-sort-sort-skew-16m,sort,sort,skew,2025-12-07T09:21:45.068GMT,2025-12-07T09:22:26.494GMT,41.426
app-20251207172117-0022,ShuffleTest-sort-sort-16m,sort,sort,16m,2025-12-07T09:21:16.070GMT,2025-12-07T09:21:44.209GMT,28.139
app-20251207172056-0021,ShuffleTest-sort-reduce-16m,sort,reduce,16m,2025-12-07T09:20:55.287GMT,2025-12-07T09:21:15.238GMT,19.951
app-20251207172013-0020,ShuffleTest-hash-sort-skew-16m,hash,sort,skew,2025-12-07T09:20:12.230GMT,2025-12-07T09:20:54.433GMT,42.203
app-20251207171945-0019,ShuffleTest-hash-sort-16m,hash,sort,16m,2025-12-07T09:19:43.699GMT,2025-12-07T09:20:11.347GMT,27.648
app-20251207171926-0018,ShuffleTest-hash-reduce-16m,hash,reduce,16m,2025-12-07T09:19:24.985GMT,2025-12-07T09:19:42.831GMT,17.846
app-20251207171903-0017,ShuffleTest-sort-sort-skew-8m,sort,sort,skew,2025-12-07T09:19:01.775GMT,2025-12-07T09:19:24.111GMT,22.336
app-20251207171845-0016,ShuffleTest-sort-sort-8m,sort,sort,8m,2025-12-07T09:18:43.584GMT,2025-12-07T09:19:00.923GMT,17.339
app-20251207171823-0015,ShuffleTest-sort-reduce-8m,sort,reduce,8m,2025-12-07T09:18:22.493GMT,2025-12-07T09:18:42.695GMT,20.202
app-20251207171802-0014,ShuffleTest-hash-sort-skew-8m,hash,sort,skew,2025-12-07T09:18:01.099GMT,2025-12-07T09:18:21.632GMT,20.533
app-20251207171744-0013,ShuffleTest-hash-sort-8m,hash,sort,8m,2025-12-07T09:17:42.978GMT,2025-12-07T09:18:00.245GMT,17.267
app-20251207171731-0012,ShuffleTest-hash-reduce-8m,hash,reduce,8m,2025-12-07T09:17:30.112GMT,2025-12-07T09:17:42.103GMT,11.991
app-20251207171714-0011,ShuffleTest-sort-sort-skew-4m,sort,sort,skew,2025-12-07T09:17:13.331GMT,2025-12-07T09:17:29.246GMT,15.915
app-20251207171701-0010,ShuffleTest-sort-sort-4m,sort,sort,4m,2025-12-07T09:17:00.045GMT,2025-12-07T09:17:12.450GMT,12.405
app-20251207171646-0009,ShuffleTest-sort-reduce-4m,sort,reduce,4m,2025-12-07T09:16:45.297GMT,2025-12-07T09:16:59.185GMT,13.888
app-20251207171630-0008,ShuffleTest-hash-sort-skew-4m,hash,sort,skew,2025-12-07T09:16:29.464GMT,2025-12-07T09:16:44.411GMT,14.947
app-20251207171612-0007,ShuffleTest-hash-sort-4m,hash,sort,4m,2025-12-07T09:16:11.194GMT,2025-12-07T09:16:28.573GMT,17.379
app-20251207171559-0006,ShuffleTest-hash-reduce-4m,hash,reduce,4m,2025-12-07T09:15:58.184GMT,2025-12-07T09:16:10.241GMT,12.057
app-20251207171548-0005,ShuffleTest-sort-sort-skew-2m,sort,sort,skew,2025-12-07T09:15:47.418GMT,2025-12-07T09:15:57.279GMT,9.861
app-20251207171534-0004,ShuffleTest-sort-sort-2m,sort,sort,2m,2025-12-07T09:15:33.390GMT,2025-12-07T09:15:46.549GMT,13.159
app-20251207171522-0003,ShuffleTest-sort-reduce-2m,sort,reduce,2m,2025-12-07T09:15:20.848GMT,2025-12-07T09:15:32.500GMT,11.652
app-20251207171510-0002,ShuffleTest-hash-sort-skew-2m,hash,sort,skew,2025-12-07T09:15:08.671GMT,2025-12-07T09:15:19.932GMT,11.261
