app_id,name,manager,workload,size,shuffle_read_MB,shuffle_write_MB
app-20251207173427-0035,ShuffleTest-sort-sort-skew-64m,sort,sort-skew,64m,739.611,739.611
app-20251207173255-0034,ShuffleTest-sort-sort-64m,sort,sort,64m,948.383,948.604
app-20251207173210-0033,ShuffleTest-sort-reduce-64m,sort,reduce,64m,178.134,178.134
app-20251207172946-0032,ShuffleTest-hash-sort-skew-64m,hash,sort-skew,64m,739.611,739.611
app-20251207172815-0031,ShuffleTest-hash-sort-64m,hash,sort,64m,947.848,948.575
app-20251207172740-0030,ShuffleTest-hash-reduce-64m,hash,reduce,64m,211.48,211.48
app-20251207172623-0029,ShuffleTest-sort-sort-skew-32m,sort,sort-skew,32m,369.395,369.395
app-20251207172532-0028,ShuffleTest-sort-sort-32m,sort,sort,32m,473.555,474.141
app-20251207172503-0027,ShuffleTest-sort-reduce-32m,sort,reduce,32m,83.957,83.957
app-20251207172345-0026,ShuffleTest-hash-sort-skew-32m,hash,sort-skew,32m,369.395,369.395
app-20251207172252-0025,ShuffleTest-hash-sort-32m,hash,sort,32m,0.0,0.0
app-20251207172228-0024,ShuffleTest-hash-reduce-32m,hash,reduce,32m,104.632,104.632
app-20251207172146-0023,ShuffleTest-sort-sort-skew-16m,sort,sort-skew,16m,185.312,185.312
app-20251207172117-0022,ShuffleTest-sort-sort-16m,sort,sort,16m,236.881,236.913
app-20251207172056-0021,ShuffleTest-sort-reduce-16m,sort,reduce,16m,40.961,40.961
app-20251207172013-0020,ShuffleTest-hash-sort-skew-16m,hash,sort-skew,16m,185.312,185.312
app-20251207171945-0019,ShuffleTest-hash-sort-16m,hash,sort,16m,236.862,236.911
app-20251207171926-0018,ShuffleTest-hash-reduce-16m,hash,reduce,16m,0.0,0.0
app-20251207171903-0017,ShuffleTest-sort-sort-skew-8m,sort,sort-skew,8m,93.558,93.558
app-20251207171845-0016,ShuffleTest-sort-sort-8m,sort,sort,8m,118.342,118.342
app-20251207171823-0015,ShuffleTest-sort-reduce-8m,sort,reduce,8m,16.382,16.382
app-20251207171802-0014,ShuffleTest-hash-sort-skew-8m,hash,sort-skew,8m,93.558,93.558
app-20251207171744-0013,ShuffleTest-hash-sort-8m,hash,sort,8m,118.342,118.342
app-20251207171731-0012,ShuffleTest-hash-reduce-8m,hash,reduce,8m,23.821,23.821
app-20251207171714-0011,ShuffleTest-sort-sort-skew-4m,sort,sort-skew,4m,46.99,46.99
app-20251207171701-0010,ShuffleTest-sort-sort-4m,sort,sort,4m,59.15,59.15
app-20251207171646-0009,ShuffleTest-sort-reduce-4m,sort,reduce,4m,8.345,8.345
app-20251207171630-0008,ShuffleTest-hash-sort-skew-4m,hash,sort-skew,4m,46.99,46.99
app-20251207171612-0007,ShuffleTest-hash-sort-4m,hash,sort,4m,59.133,59.15
app-20251207171559-0006,ShuffleTest-hash-reduce-4m,hash,reduce,4m,12.265,12.265
app-20251207171548-0005,ShuffleTest-sort-sort-skew-2m,sort,sort-skew,2m,23.463,23.463
app-20251207171534-0004,ShuffleTest-sort-sort-2m,sort,sort,2m,29.558,29.558
app-20251207171522-0003,ShuffleTest-sort-reduce-2m,sort,reduce,2m,6.206,6.215
app-20251207171510-0002,ShuffleTest-hash-sort-skew-2m,hash,sort-skew,2m,23.449,23.463
app-20251207171456-0001,ShuffleTest-hash-sort-2m,hash,sort,2m,29.558,29.558
app-20251207171444-0000,ShuffleTest-hash-reduce-2m,hash,reduce,2m,8.698,8.698
