app,mode1,mode2,size,duration_s,shuffle_read,shuffle_write,spill_mem,spill_disk,fetch_wait,cpu_time,gc_time,run_time
ShuffleTest-sort-sort-64m,sort,sort,64m,80.089,1313654410,1313952756,0,0,0,0,0,0
ShuffleTest-sort-reduce-64m,sort,reduce,64m,39.968,190683378,190683378,0,0,0,0,0,0
ShuffleTest-hash-sort-64m,hash,sort,64m,81.506,1313457872,1313904682,0,0,0,0,0,0
ShuffleTest-hash-reduce-64m,hash,reduce,64m,32.979,238772682,238772682,0,0,0,0,0,0
ShuffleTest-sort-sort-32m,sort,sort,32m,43.677,656903686,656903686,0,0,0,0,0,0
ShuffleTest-sort-reduce-32m,sort,reduce,32m,24.28,93735339,93735339,0,0,0,0,0,0
ShuffleTest-hash-sort-32m,hash,sort,32m,43.509,656892220,656892220,0,0,0,0,0,0
ShuffleTest-hash-reduce-32m,hash,reduce,32m,19.182,122989933,122989933,0,0,0,0,0,0
ShuffleTest-sort-sort-16m,sort,sort,16m,25.671,328398938,328398938,0,0,0,0,0,0
ShuffleTest-sort-reduce-16m,sort,reduce,16m,14.799,49358420,49358420,0,0,0,0,0,0
ShuffleTest-hash-sort-16m,hash,sort,16m,25.22,328396338,328396338,0,0,0,0,0,0
ShuffleTest-hash-reduce-16m,hash,reduce,16m,13.299,62937183,62937183,0,0,0,0,0,0
ShuffleTest-sort-sort-8m,sort,sort,8m,16.631,164133135,164133135,0,0,0,0,0,0
ShuffleTest-sort-reduce-8m,sort,reduce,8m,12.062,21740691,21740691,0,0,0,0,0,0
ShuffleTest-hash-sort-8m,hash,sort,8m,17.883,164132485,164132485,0,0,0,0,0,0
ShuffleTest-hash-reduce-8m,hash,reduce,8m,9.818999999999999,30466596,30466596,0,0,0,0,0,0
ShuffleTest-sort-sort-4m,sort,sort,4m,11.79,82053794,82053794,0,0,0,0,0,0
ShuffleTest-sort-reduce-4m,sort,reduce,4m,9.409,12230670,12230670,0,0,0,0,0,0
ShuffleTest-hash-sort-4m,hash,sort,4m,11.548,82053690,82053690,0,0,0,0,0,0
ShuffleTest-hash-reduce-4m,hash,reduce,4m,8.221,16201418,16201418,0,0,0,0,0,0
ShuffleTest-sort-sort-2m,sort,sort,2m,8.377,41001021,41001021,0,0,0,0,0,0
ShuffleTest-sort-reduce-2m,sort,reduce,2m,9.017,6513684,6513684,0,0,0,0,0,0
ShuffleTest-hash-sort-2m,hash,sort,2m,8.631,41000995,41000995,0,0,0,0,0,0
ShuffleTest-hash-reduce-2m,hash,reduce,2m,8.703,9119075,9119075,0,0,0,0,0,0
