manager,workload,size_m,duration_s,app
hash,reduce,2,8.703,ShuffleTest-hash-reduce-2m
hash,reduce,4,8.221,ShuffleTest-hash-reduce-4m
hash,reduce,8,9.819,ShuffleTest-hash-reduce-8m
hash,reduce,16,13.299,ShuffleTest-hash-reduce-16m
hash,reduce,32,19.182,ShuffleTest-hash-reduce-32m
hash,reduce,64,32.979,ShuffleTest-hash-reduce-64m
sort,reduce,2,9.017,ShuffleTest-sort-reduce-2m
sort,reduce,4,9.409,ShuffleTest-sort-reduce-4m
sort,reduce,8,12.062,ShuffleTest-sort-reduce-8m
sort,reduce,16,14.799,ShuffleTest-sort-reduce-16m
sort,reduce,32,24.28,ShuffleTest-sort-reduce-32m
sort,reduce,64,39.968,ShuffleTest-sort-reduce-64m
hash,sort,2,8.631,ShuffleTest-hash-sort-2m
hash,sort,4,11.548,ShuffleTest-hash-sort-4m
hash,sort,8,17.883,ShuffleTest-hash-sort-8m
hash,sort,16,25.22,ShuffleTest-hash-sort-16m
hash,sort,32,43.509,ShuffleTest-hash-sort-32m
hash,sort,64,81.506,ShuffleTest-hash-sort-64m
sort,sort,2,8.377,ShuffleTest-sort-sort-2m
sort,sort,4,11.79,ShuffleTest-sort-sort-4m
sort,sort,8,16.631,ShuffleTest-sort-sort-8m
sort,sort,16,25.671,ShuffleTest-sort-sort-16m
sort,sort,32,43.677,ShuffleTest-sort-sort-32m
sort,sort,64,80.089,ShuffleTest-sort-sort-64m
